enterprise_id,treatment_285,ent_running,Gender,BlockCode,_weight,age_entrepreneur,CIBILscore,NumberofHouseholdmembers,HighestEducation,Religion,Community,MaritalStatus,OwnRentedHouse,TypeofDwelling,CAPBeneficiary,Typeofownership,Existingbusiness,Category_of_enterprise,Vehicle,Water,Equipmentavailability,Skilledlaboravailability,ECP_Score,HouseholdIncome
e_1137,0,1,Male,B031,,43,750 to 900,4,Secondary - 8th to 10th Standard,Hindu,BC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,New,GREEN,65000,Available,No,Yes,50,80000
e_1138,0,1,Male,B002,2,37,650 to 750,1,Secondary - 8th to 10th Standard,Hindu,MBC/DNC,Unmarried,Own,Kutcha House,Yes,Individual/Sole Proprietary,New,ORANGE,200000,Available,Yes,Yes,55,72000
e_1139,0,1,Male,B005,2,28,650 to 750,1,Graduate,Hindu,BC,Unmarried,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,35250,Available,No,Yes,60,70000
e_114,0,0,Female,B093,2,40,550 to 650,1,Secondary - 8th to 10th Standard,Hindu,SC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,New,GREEN,0,Available,No,Yes,45,72000
e_1140,0,0,Female,B044,,44,650 to 750,2,Secondary - 8th to 10th Standard,Hindu,MBC/DNC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,GREEN,40000,Available,Yes,Yes,40,0
e_1142,0,1,Female,B095,,32,650 to 750,3,Senior Secondary - 11th to 12th  ,Hindu,SC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,GREEN,85000,Available,Yes,Yes,45,4000000
e_1143,0,1,Female,B039,1,26,650 to 750,1,Graduate,Hindu,BC,Unmarried,Own,Kutcha House,No,Individual/Sole Proprietary,Existing,ORANGE,10000,Available,No,Yes,50,72000
e_1144,0,0,Female,B080,3,23,650 to 750,1,Graduate,Hindu,SC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,60000,Available,No,Yes,55,85000
e_1145,0,1,Female,B015,,37,650 to 750,2,Graduate,Hindu,SC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,Existing,GREEN,80000,Available,Yes,Yes,60,300000
e_1149,0,1,Female,B095,1,36,650 to 750,3,Senior Secondary - 11th to 12th  ,Hindu,SC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,GREEN,90000,Available,Yes,Yes,55,92000
