"id","personid","pred_inS","pred_inS_alt","pred_inS_drop"
"e_1254","e_1254","0.35176804159782","0.356072854193975","0.35176804159782"
"e_1259","e_1259","0.348471688363099","0.34981718639356","0.348471688363099"
"e_126","e_126","0.299378338113283","0.29950121367764","0.299378338113283"
"e_1260","e_1260","0.378300137095392","0.377041081607601","0.378300137095392"
"e_1261","e_1261","0.482697672292883","0.476578923028524","0.482697672292883"
"e_1263","e_1263","0.330671208572067","0.334042633439807","0.330671208572067"
"e_1264","e_1264","0.455015622814177","0.450662863796313","0.455015622814177"
"e_1265","e_1265","0.360505570803881","0.362710640529702","0.360505570803881"
"e_1267","e_1267","0.357819049507391","0.363508245595025","0.357819049507391"
"e_1268","e_1268","0.464149517899326","0.459846665264814","0.464149517899326"
"e_1269","e_1269","0.311104826098218","0.313196168212681","0.311104826098218"
"e_1270","e_1270","0.453254891219491","0.452473533437259","0.453254891219491"
"e_1271","e_1271","0.356320440848362","0.351635395708001","0.356320440848362"
"e_1272","e_1272","0.324505240736296","0.319991477612646","0.324505240736296"
"e_1274","e_1274","0.485948489904022","0.481175855522201","0.485948489904022"
"e_1276","e_1276","0.348570732854164","0.346988612660408","0.348570732854164"
"e_1277","e_1277","0.323598694173963","0.319242610884754","0.323598694173963"
"e_1278","e_1278","0.461608055131921","0.463658071420475","0.461608055131921"
"e_1279","e_1279","0.47142816503743","0.477686563880057","0.47142816503743"
"e_128","e_128","0.323764338266641","0.319928941975424","0.323764338266641"
"e_1280","e_1280","0.297123872455414","0.299471362052833","0.297123872455414"
"e_1281","e_1281","0.453489465335592","0.455781238385139","0.453489465335592"
"e_1283","e_1283","0.322739562767811","0.323729538190276","0.322739562767811"
"e_1284","e_1284","0.459080557590751","0.456075559670694","0.459080557590751"
"e_1285","e_1285","0.331585170443402","0.33122919745521","0.331585170443402"
"e_1286","e_1286","0.340834512752841","0.339998924747265","0.340834512752841"
"e_1289","e_1289","0.300187452762536","0.301865181462761","0.300187452762536"
"e_129","e_129","0.421688804413344","0.420578923761359","0.421688804413344"
"e_1293","e_1293","0.33929657651776","0.342207991727953","0.33929657651776"
"e_1295","e_1295","0.360869595963277","0.359753331772652","0.360869595963277"
"e_1296","e_1296","0.448398302113021","0.451535419474253","0.448398302113021"
"e_1297","e_1297","0.347457355905199","0.344330771356406","0.347457355905199"
"e_1298","e_1298","0.309647032778856","0.305891725626385","0.309647032778856"
